strategy,regime,final_pnl,avg_abs_inventory,max_abs_inventory,pnl_volatility,max_drawdown
InventoryAndVolatilityAdjusted,Balanced,1603.532616,10.8454,73,0.9517971737143719,17.344581999999946
VolatilityAdjusted,Balanced,1220.624434,22.8029,80,0.3995408296777985,6.289895000000001
InventorySkew,Balanced,1207.061013,8.8468,60,0.7713627316006386,11.773798
FixedSpread,Balanced,997.321036,28.319,96,0.4204708572565153,9.941531999999938
InventoryAndVolatilityAdjusted,BuyPressure,1698.46576,73.2828,99,4.087920596227456,51.02927
InventorySkew,BuyPressure,1189.673972,46.6211,77,2.599938244611553,29.702225999999996
FixedSpread,BuyPressure,-23049.630387,909.2703,1805,10.102885179922648,23056.955895
VolatilityAdjusted,BuyPressure,-31690.844111,1294.0705,2582,13.910663574968746,31703.447075
VolatilityAdjusted,HighVolatility,1897.78369,3.7331,30,0.5672507258585128,5.814140000000009
InventoryAndVolatilityAdjusted,HighVolatility,1896.702869,3.7621,30,0.5890511177216792,7.026207999999997
FixedSpread,HighVolatility,998.40898,3.3251,30,0.43187933390027294,7.112998000000061
InventorySkew,HighVolatility,997.556926,3.2339,27,0.45004082602138434,5.758600000000001
InventoryAndVolatilityAdjusted,SellPressure,1667.528545,65.4375,100,3.6484328387722798,39.868453000000045
InventorySkew,SellPressure,1580.94955,55.6878,94,3.097752567410617,40.653134000000136
FixedSpread,SellPressure,-20847.032939,865.9666,1808,9.694708721009867,20857.790584
VolatilityAdjusted,SellPressure,-28552.988923,1111.0426,2208,11.999947583114679,28617.815603
